id,model,file,source,rig,rig_key,is_5128,kind,identity,own_measurement,label,scoring_grade,agent_used_when_scoring,rms_dev_vs_ref_db,ref,url,data_url,verifier_note
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__primary__center.csv,Earphones Archive,B&K 5128,5128,True,primary,exact,True,原装耳垫 · 居中 L/R平均,True,True,1.62,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(center)%20L.txt,,URL 文件名 'Sennheiser HD480 Pro (center) L.txt' 与型号一致，B&K 5128 台架，样本1居中佩戴 L/R 平均，是本机型最佳台架的代表曲线。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__sample__s2.csv,Earphones Archive,B&K 5128,5128,True,sample,exact,True,样本2 · L/R平均,True,True,1.5,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(sample%202)%20L.txt,,文件名 '(sample 2)' 对应同型号第二只物理单元，5128 台架，作为额外样本佐证一致性。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__sample__s3_center.csv,Earphones Archive,B&K 5128,5128,True,sample,exact,True,样本3 居中 · L/R平均,True,True,1.7,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(sample%203%20-%20center)%20L.txt,,文件名 '(sample 3 - center)'，同型号第三只单元居中佩戴，5128 台架。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__sample__s4_center.csv,Earphones Archive,B&K 5128,5128,True,sample,exact,True,样本4 居中 · L/R平均,True,True,1.7,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(sample%204%20-%20center)%20L.txt,,文件名 '(sample 4 - center)'，同型号第四只单元居中佩戴，5128 台架。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__seating__back.csv,Earphones Archive,B&K 5128,5128,True,seating,exact,True,样本1 后移佩戴,False,False,1.55,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(back)%20L.txt,,文件名 '(back)'，刻意佩戴位后移变体，非常规居中测量，不计入打分。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__seating__front.csv,Earphones Archive,B&K 5128,5128,True,seating,exact,True,样本1 前移佩戴,False,False,1.94,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(front)%20L.txt,,文件名 '(front)'，刻意佩戴位前移变体，不计入打分。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__seating__up.csv,Earphones Archive,B&K 5128,5128,True,seating,exact,True,样本1 上移佩戴,False,False,1.41,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(up)%20L.txt,,文件名 '(up)'，刻意佩戴位上移变体，不计入打分。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__seating__down.csv,Earphones Archive,B&K 5128,5128,True,seating,exact,True,样本1 下移佩戴,False,False,2.19,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(down)%20L.txt,,文件名 '(down)'，刻意佩戴位下移变体，不计入打分。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__seating__s3_back.csv,Earphones Archive,B&K 5128,5128,True,seating,exact,True,样本3 后移佩戴,False,False,1.41,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(sample%203%20-%20back)%20L.txt,,文件名 '(sample 3 - back)'，第三只单元的佩戴位变体。
sennheiser-hd-480-pro,Sennheiser HD 480 Pro,curves/sennheiser-hd-480-pro/EarphonesArchive__BK5128__seating__s3_front.csv,Earphones Archive,B&K 5128,5128,True,seating,exact,True,样本3 前移佩戴,False,False,1.73,LMG 5128 0.6 + 低频搁架（AutoEq 为 5128 头戴推荐的目标，相当于 Harman 风格在 5128 上的对应）,https://earphonesarchive.squig.link/headphones/data/Sennheiser%20HD480%20Pro%20(sample%203%20-%20front)%20L.txt,,文件名 '(sample 3 - front)'，第三只单元的佩戴位变体。
